Titel,Geschäftsart,ID,Datum,Erstunterzeichner,Partei Erstunterzeichner,Mitunterzeichner,Partei Mitunterzeichner,Geschäftsstatus,Entscheid,_entscheidbereinigt
"Reglement über die sprachliche Gleichstellung, Schätzung der Folgekosten für die Anpassung der Kommunikationsprodukte und IT-Applikationen und Sicherstellung der Umsetzung durch die Mitarbeitenden sowie Ressourcen der Fachstelle für Gleichstellung",Schriftliche Anfrage,3426c9a258bc4d01ba81f706e91ad6ec,2022-06-22T00:00:00.000,Susanne Brunner,SVP,Yasmine Bourgeois,FDP,Abgeschlossen,,
"Illegale Party vom 20. Juni 2022 auf der Allmend, Massnahmen der Stadt zur frühzeitigen Auflösung solcher Partys, zum Schutz der Menschen vor Lärmbelastung und gegen das Littering im öffentlichen Raum",Schriftliche Anfrage,8b5c1091c0b346e58f22f1b3804e00cf,2022-06-22T00:00:00.000,Johann Widmer,SVP,Sebastian Zopfi,SVP,Abgeschlossen,,
Reduzierung der Dienstreisen von städtischen Angestellten,Postulat,ebcae63eb77d4350b6736c59e7de48d5,2022-06-22T00:00:00.000,Martin Götzl,SVP,Felix Moser,Grüne,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Verhinderung von Öko-Vetternwirtschaft bei Klimaschutzprojekten,Postulat,c79353f11ee44e3f801cc04d0f7f51dd,2022-06-22T00:00:00.000,Johann Widmer,SVP,Samuel Balsiger,SVP,Abgeschlossen,Ablehnung,Ablehnung
"Umsetzung des Netto-Null-Ziels, Verhinderung von Öko-Vetternwirtschaft bei öffentlich finanzierten Projekten und Massnahmen zur Offenlegung von finanziellen Vorteilen",Interpellation,8f4fe975ee8d42838416eaa6ee6051d0,2022-06-22T00:00:00.000,Johann Widmer,SVP,Samuel Balsiger,SVP,Abgeschlossen,,
"Reglement über die sprachliche Gleichstellung, Gründe für die Revision, Stellungnahme zum Vorwurf eines mit Steuergeldern finanzierten linken Kulturkampfs und zum fehlenden Engagement betreffend Anfeindungen und Gewalt gegen Schwule und Lesben",Interpellation,52d253124a914e0aba237bd00db99f7e,2022-06-22T00:00:00.000,Samuel Balsiger,SVP,Sebastian Zopfi,SVP,Abgeschlossen,,
Verzicht auf die Revision des Reglements über die sprachliche Gleichstellung,Postulat,adb7c2dd11ba49eeb9b2044c5f006f37,2022-06-22T00:00:00.000,Samuel Balsiger,SVP,Sebastian Zopfi,SVP,Abgeschlossen,Ablehnung,Ablehnung
"Verkehrsbetriebe Zürich (VBZ), Ausbildungsoffensive zur Behebung des Fachkräftemangels sowie Zusammenarbeit mit weiteren Verkehrsbetrieben und privaten Unternehmen der Branche",Postulat,d57720bbd5e542d9b90bfe87ecfa2c0b,2022-06-29T00:00:00.000,Reto Brüesch,SVP,Sebastian Zopfi,SVP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Umnutzung von Büroflächen in Wohnraum, mögliches Potenzial in der Stadt, Ausmass an Büro-Leerflächen in den Quartieren und gesondert nach Bauzonen, Möglichkeiten zur Beschleunigung der Nutzungsänderungen sowie dafür geeignete städtische Gewerbe- und Büroflächen",Schriftliche Anfrage,d5179a07d8c849c68300468ba52f5004,2022-06-29T00:00:00.000,Reto Brüesch,SVP,Jean-Marc Jung,SVP,Abgeschlossen,,
Strategie und Erfolge gegen den gut vernetzten Linksextremismus sowie Haltung zur Durchsetzung einer Strategie mit allen rechtsstaatlichen Mitteln,Interpellation,7c0505be866d4eb4a127a2dff96e9c09,2022-06-29T00:00:00.000,Samuel Balsiger,SVP,Stephan Iten,SVP,Abgeschlossen,,
Zonenplanänderung für den Ersatz der wegfallenden potenziellen Wohnfläche in der angrenzenden Zone zur Parzelle AF 45050 im Rahmen der Zonenplanänderung «Im Isengrind»,Postulat,b88919e065df403a83c15e62f3a0e10b,2022-07-06T00:00:00.000,Reto Brüesch,SVP,Sabine Koch,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Allmend Brunau, Ermöglichung einer zusätzlichen Rasensportnutzung gemäss kommunalem Richtplaneintrag",Motion,685df0b8f1dc4347a48e93fa1773af02,2022-07-06T00:00:00.000,Anjushka Früh,SP,Martin Götzl,SVP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Sofortiger Abbruch des Projekts «Brings uf d'Strass!»,Postulat,8bc714c01cb64a69b8f45ad78008aba0,2022-07-06T00:00:00.000,Samuel Balsiger,SVP,Stephan Iten,SVP,Abgeschlossen,Ablehnung,Ablehnung
