Titel,Geschäftsart,ID,Datum,Erstunterzeichner,Partei Erstunterzeichner,Mitunterzeichner,Partei Mitunterzeichner,Geschäftsstatus,Entscheid,_entscheidbereinigt
"Publikation des neuen Reglements zur Videoüberwachung der Polizeigebäude und Polizeianlagen, Gründe für den Erlass des neuen Reglements und die darin vorgesehenen Änderungen sowie für den gewählten Zeitpunkt der Publikation während den Sommerferien",Interpellation,458b7a632f2e48bdae891a6437fd2e7d,2017-08-23T00:00:00.000,Sven Sobernheim,GLP,Pascal Lamprecht,SP,Abgeschlossen,,
Projektierungskredit für einen dreijährigen Pilotversuch auf der Einfallachse Bellerivestrasse/Utoquai betreffend Reduktion der Fahrspuren mit einem wechselseitigen Verkehrsregime und Markierung eines beidseitigen Velowegs,Motion,36425b4ba83144e19c1cfa009c125a2b,2017-08-30T00:00:00.000,Markus Merki,GLP,Matthias Wiesmann,GLP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Bessere Erschliessung von Witikon mit einer direkten Busverbindung via Zoo zum Bahnhof Stettbach,Postulat,c9a1fbb2672e400c86364d8966fc9fa4,2017-09-06T00:00:00.000,Ann-Catherine Nabholz,GLP,Balz Bürgisser,Grüne,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Unterteilung der Zweiradparkplätze in Abstellplätze für Motorräder/Roller und Velos,Postulat,c97007c86c8647c48a318b17c2abde85,2017-09-06T00:00:00.000,Ann-Catherine Nabholz,GLP,Sven Sobernheim,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Pilotprojekt für eine Umnutzung des Raums unter der Hardbrücke zu einer Fussgängerzone und Flaniermeile während den Sommermonaten,Postulat,fc6ed68856de4c3ea6c651bbd4b3ecb0,2017-09-20T00:00:00.000,Pirmin Meyer,GLP,Shaibal Roy,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Anrechnung der Wohneinheiten der Alterszentren zum Anteil der gemeinnützigen Wohnbauträger,Postulat,69544a2d5f5e4a48aeb6f6d3a88b29a4,2017-09-20T00:00:00.000,Guy Krayenbühl,GLP,Pirmin Meyer,GLP,Abgeschlossen,Ablehnung,Ablehnung
Gestaltung eines Begegnungsorts bei der Tramremise Wartau,Postulat,336276e55d794c88979fbd33ee589332,2017-10-04T00:00:00.000,Mathias Egloff,SP,Ronny Siev,GLP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Aufhebung des Schiessstands Hasenrain in Albisrieden,Postulat,67cd50f9e846401e9986a2203b2ec07a,2017-11-01T00:00:00.000,Pascal Lamprecht,SP,Markus Baumann,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Neue Nutzung für den bisherigen Schiessstand Hasenrain,Motion,b3b7b404584d4a0b9232f4e9f1a3bd5f,2017-12-06T00:00:00.000,Pascal Lamprecht,SP,Markus Baumann,GLP,Abgeschlossen,Umwandlung in Postulat,Überweisung
Ersatz der kostenlosen Veloabstellplätze im Umfeld der geplanten Zugänge zum Bahnhof Stadelhofen nach deren Aufhebung auf dem Stadelhofenplatz,Postulat,ff3630dcc8794cc0bf3363a86f954c60,2017-12-20T00:00:00.000,Patrick Hadi Huber,SP,Ann-Catherine Nabholz,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Selbstfahrende Fahrzeuge in der Stadt, mögliche Strategie für Versuche mit selbstfahrenden Fahrzeugen sowie Einschätzung der gesetzlichen Rahmenbedingungen und der Handlungsspielräume",Schriftliche Anfrage,7a78c2ceff6d4efc9691bb8820287ce5,2018-01-10T00:00:00.000,Isabel Garcia,FDP,Guy Krayenbühl,GLP,Abgeschlossen,,
"Parkplätze bei Schulanlagen, Parameter für die Berechnung der notwendigen Parkplätze sowie Angaben zur Vermietung und zum Vergabeverfahren der Parkplätze auf den Schulanlagen und allfälligen Drittflächen",Schriftliche Anfrage,750d116914654bcfa6dabb48e6655c0f,2018-01-10T00:00:00.000,Markus Merki,GLP,Isabel Garcia,FDP,Abgeschlossen,,
