Titel,Geschäftsart,ID,Datum,Erstunterzeichner,Partei Erstunterzeichner,Mitunterzeichner,Partei Mitunterzeichner,Geschäftsstatus,Entscheid,_entscheidbereinigt
Pilotprojekt für die Begrünung von Gleisanlagen der SBB,Postulat,d9e24d42066f4d80a7939e98fc344cee,2022-06-22T00:00:00.000,Flurin Capaul,FDP,Marco Denoth,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Reglement über die sprachliche Gleichstellung, Schätzung der Folgekosten für die Anpassung der Kommunikationsprodukte und IT-Applikationen und Sicherstellung der Umsetzung durch die Mitarbeitenden sowie Ressourcen der Fachstelle für Gleichstellung",Schriftliche Anfrage,3426c9a258bc4d01ba81f706e91ad6ec,2022-06-22T00:00:00.000,Susanne Brunner,SVP,Yasmine Bourgeois,FDP,Abgeschlossen,,
"Bewilligungspflichtige, mobile Verkaufsstellen am See, Aufhebung des Verbots für den Verkauf alkoholischer Getränke",Postulat,08a70253aef645ca98062031e932586a,2022-06-22T00:00:00.000,Flurin Capaul,FDP,Përparim Avdili,FDP,InBearbeitung,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
"Umsetzung des städtischen Klimaschutzziels Netto-Null bis 2040, Schritte zur Festlegung des Absenkpfads, Veröffentlichung des jährlichen Zwischenberichts, Vorgehen und Kennzahlen betreffend Monitoring sowie Erfassung und Senkung der indirekten Emissionen",Interpellation,341585f17e674173bb8ad220460eece1,2022-06-22T00:00:00.000,Patrik Brunner,FDP,Frank Rühli,FDP,Abgeschlossen,,
"Reglement über die sprachliche Gleichstellung, Umgang mit dem Widerspruch zwischen der Gendersprache und einer leicht verständlichen Sprache sowie zur Regelung der Bundeskanzlei und dem Rat der deutschen Rechtschreibung, 
Sicherstellung der Barrierefreiheit für blinde und gehörlose Menschen",Interpellation,05c71633bba547a29f4d53e4d0e379fe,2022-06-22T00:00:00.000,Yasmine Bourgeois,FDP,Andreas Egli,FDP,Abgeschlossen,,
Elektronische Zahlungsmöglichkeiten für die öffentlichen WC-Anlagen (ZüriWC),Postulat,394790b8df9548e58052fb6222d279e7,2022-06-29T00:00:00.000,Benedikt Gerth,Die Mitte,Alexander Brunner,FDP,Abgeschlossen,Ablehnung,Ablehnung
"Reduktion der Zinskosten durch die Reform der Verrechnungssteuer, Schätzung der Minderkosten auf Basis der Szenarienanalyse der eidgenössischen Steuerverwaltung sowie mögliche Abstimmungsempfehlung des Stadtrats zur Abstimmungsvorlage",Schriftliche Anfrage,38225c34b2504328833a1116e18b663a,2022-06-29T00:00:00.000,Dominique Zygmont,FDP,Isabel Garcia,FDP,Abgeschlossen,,
"Wiederbelebung des Städtetourismus, Haltung des Stadtrats zur Absicht der Metropolitankonferenz hinsichtlich einer Förderung des Städtetourismus in Form von Tourismuszonen, Einsatz für die Schaffung der dafür nötigen rechtlichen Grundlagen und mögliche Umsetzung solcher Zonen in der Stadt sowie Möglichkeit für ein Pilotprojekt",Schriftliche Anfrage,1f8483e3b3cf477096de2bcabd6996cf,2022-06-29T00:00:00.000,Përparim Avdili,FDP,Michael Schmid,FDP,Abgeschlossen,,
Rahmenkredit für eine gesteigerte Stromproduktion aus Wasserkraft durch das ewz,Motion,c5573aef793a4140bbc90b06a7ed15f3,2022-06-29T00:00:00.000,Ronny Siev,GLP,Jehuda Spielman,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Zonenplanänderung für den Ersatz der wegfallenden potenziellen Wohnfläche in der angrenzenden Zone zur Parzelle AF 45050 im Rahmen der Zonenplanänderung «Im Isengrind»,Postulat,b88919e065df403a83c15e62f3a0e10b,2022-07-06T00:00:00.000,Reto Brüesch,SVP,Sabine Koch,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
